,Tweet,Class
7316,يفعل وزير التجارة التابع للأسد دبي؟ إكسبو سيئة الصيت جمعت المجرمين والقتلة بينهم رجال الأسد الملطخة أيديهم بالدم السوري أبشع عملية تطبيع نظام مجرم مرفوض العرب لنقاطع إكسبو دبي,negative
7317,للوهلة الأولى اعتقدتها تغني بالفرنسية مخارج الحروف سيئة وأداء ثقيل جدا وأخطاء نطق الكلمات اللغات الحية أداة تواصل ثقافي الشعوب الجميل تغنى كجزء تعزيز التواصل معنى لذلك الاحتفاء بهذا الأداء اكسبوا دبي اكسبو,negative
7318,سؤال ستقدم السعودية إكسبو مشاريعها سيئة جدا شكل تصاميم مبهرة للعالم تقارن بمدينة جميلة دبي,negative
7319,شاء الله المعاير تكون الكفاءة الكفاءة فقط معارضنا فالخارج تعكس صورة جد سيئة الجزائر متابعة الامور بجدية اخرها اكسبو دبي غياب تام لوزارة الثقافة الملحق الثقافي بسفارتنا رغم ثراء الجزائر اجنحتها المعارض الدولية فارغة,negative
7320,انا حبيت اسمو شو اكسبو هيدا اسم بلدي هيك رحت,negative
7321,صديق كانوا أكسبو مذهولين عودتهم يقولون وافدين بعدد لايستهان مشاركين حساب الكويت ممثلين البلد ماعندنا شعب شي عجيب وغريب,negative
7322,جناح قطر جناح ممل وميت انصح,negative
7323,جناح اذربيجان تصميم الجناح جميلا كأذربيجان نفسها لكنه الداخل مخيبا لأمال بإمتلاكه قطع فنية سجادة مائلة,negative
7324,زرنا جناح ليتوانيا تميز بتصميمه الخارجي الخشبي ولقد جناحا مملا مافيه معادن اشياء تراثية ليتوانيا بالاضافة اصغر برج خليفة العالم ومقهى ومحل هدايا,negative
7325,جناح اسبانيا جناح ممل وغير مترابط مرة يعرضون الة ضخمة تصدر صوت يفجر طبلات الاذن والتي يسمونها فن يعرضون فلم كرنج سامج القمر فجاة الاندلس جناح مفكك بدون تركيز فكرة محددة,negative
7326,يخي ودي ادخل جناح فلسطين اليابان مشكلتهم زحمة كبر كرشتي,negative
7327,بلا إكسبو بلا زحمة وصخب شكلها,negative
7328,اكسبو زحمه مب طبيعيه والله,negative
7329,اكسبو زحمة زحمة زحمة الساعة الصبح والأجنحة كلها كيو مايخلص عشان ندخل بدأ العد التنازلي ومحد يبا يفوت هالحدث,negative
7330,اكسبو زحمة ناس,negative
7331,يلهوي اكسبو زحمه وجه يبكي بصوت عال وجه يبكي بصوت عال وجه يبكي بصوت عال,negative
7332,مارح احضر اكسبو زحمه,negative
7333,اكسبو للاسف الدول مره مو تعبانين قسمها,negative
7334,الجناح الكويتي اكسبو دبي عجبني عطوه اهتمام للاسف الجناح اكسبو ميلان افضل بكثير بوح الكويت,negative
7335,سرت اكسبو مرات قدرت ادخل جناح الامارات الزحمه الطابور الطويل فالثلاث مرات وقفت طابور علشان الجناح السعودي علشان ادخله,negative
7336,مو عنصريه فعليا الجاليه الهنديه بدبي سبب خراب الفعاليات وصرت اكره اروح دبي كثرتهم رحت اكسبو مرتين فترتين متباعده وخربوا ام جوي احترام الطابور عندهم طبيعي تدافع ومستعده يقتل عشان يعدي يلصق فيك وكن الدنيا طايره اغلبهم ريحته خايسه,negative
7337,حزين جدا زرت معرض اكسبو دبي طلابي واستمتعت بجمال التنظيم وتقنيات العرض الراقية كنت اتشوق لرؤية جناح السودان وصلت إليه ربع ساعة بالاستعانة بخريطة قوقل ويا ليتني ابحث عنه زقاق يبين لفت نظري شكل العلم البئيس المهان راجع الصورة,negative
7338,زحمة تايلند إكسبو دبي,negative
7339,حضرت اكسبو دبي تجمع كبير لمختلف الثقافات العالم مكان وكإننا بنعمل بروڤا لذاك اللي يبان ابن الحرام ابن الحلال حقيقة زحمة صوب يستوي تبا,negative
7340,والله مادري وين اروح دبي زحمة اكسبو ماقدر,negative
7341,اكسبو دبي وربي ياهو زحمه طبيعي,negative
7342,واذا تشوف الاماره زحمه بكل هدوء تنتقل اماره وعوافي الشارقة تضع بوابات تعريفية لدخول الاماره احتراما للموظفين يعملون دبي ويسكنون فالشارقة زحمة اكسبو تتحملها الامارات الشارقة فقط,negative
7343,بينجحوا بالنظام والنضافة والمراقبة والمحاسبة اكسبو والقرية العالمية والمولات دبي زحمة مش طبيعي ومفيش معاكسة سرقة قلة نضافة حاجة فل وماشية زي الساعة بتعرفي تنبسطي ليلة رأس السنة تحفة اقلهم برج خليفة الالعاب النارية والاضاءة حتة عرض,negative
7344,زحمة جنازة الشيخ خليفة زحمة شاطىء ال العيد زحمة دبي المول العيد زحمة اكسبو وعدم وقوفهم بالطابور بايامه يجب تثقيفهم قليلا تقليل اعدادهم لان استحضار العمالة بهذا العدد يضر الدولة,negative
7345,اكسبو دبي معظم الاجانب يحسبونه دوله كثر الزحمة الطابو ساعتين بمول دبي فاضي كنتاكي والبيك زحمة الي عايش بدبي يعرف البيك فعلا مطعم عالمي,negative
7346,ياليت وقصفتوا اكسبو دبي هددتوا بضربه بدل ماهم صيادين السمك مسوين زحمه مواقع التواصل,negative
7347,ابو شنطة ظهر فعلا كنت دبي شهر كمية الاجانب اللى ذكر اعداد مهولة وتلاقيهم زاوية تصوير اكسبو يدخل بنفس التذكرة ومسوين زحمة الفاضي خصوصا الهنود,negative
7348,يوسف عبد الرحمن آلمنا المرجفون الكويتيون وهم يحاولون إفشال نجاح بلدهم اكسبو دبي آن الآوان ليصمت أهل الأراجيف الكويت ولادة,negative
7349,يبدو وزير الاعلام يحتاج دروس تقوية كيفية ترتيب اولويات الاعلام بالتأكيد الاولويات تغطية زيارات الوزير الجرائد وغياب تلفزيون الكويت الرسمي نقل افتتاح معرض اكسبو دبي سقطة اعلامية للاعلام الرسمي فأي نجاح لدولة خليجية نجاح للكل يسمع؟,negative
7350,شفيكم الابداع اكسبو دبي ماعندنا انجاز الرقص,negative
7351,اولا تغريدتي تتكلم موضوع آخر بعدين لغة التعميم لغة الجهلاء دولة خليجيه الدخلاء اللي يحاولون اثارة الفتن دول الخليج اكسبو دبي انجاز لكل الخليج يسئ منا,negative
7352,الخليج ماعليهم شرهه لقيت كوايته حاسدينا فوز جناح السعوديه اكسبو دبي يقولون جناح لكويت احله وجناحهم مافيه ضب,negative
7353,عايشه دبي بقالي حبه اهو رحت اكسبو القريه بتنجان مخلل والله كنت ابوظبي كنت بروح اماكن اكتر,negative
7354,رحت الجناح الكويتي اكسبو دبي عرفت اللجنه العليا الكويتي المشارك اكسبو موهلين لهذه المهمه وانعكس علي سوء الجناح الكويتي فنيا وشكليا وافضل شي انهم اخذوا الاف الدنانير مكافات ماليه ومخصصات بصراحه الكويت,negative
7355,انا رحت دبي علشان اكسبو وتحسفت لوعة جبد,negative
7356,مكلفينك تروح اكسبو دبي ويبون تقرير وختم خروجك ودخولك ومعطينك مخصصاتك بشيك اخرتها رحت وصرفت الشيك وتقول بسددهم اقساط انت حرامي فئة الغبي الغشيم اللي يستهبل شنو,negative
7357,اها ده كفاية البنزين ده رحت دبي الاسبوع اللي فات بالباص علشان كده السنة اللي فاتت زي الأيام دي كنت بفول الوقتي بقت بعدها بيومين رحت آخر اكسبو بالعربية,negative
7358,حدث الجناح الأردني إكسبو دبي مخجل اكسبو دبي الأردن,negative
7359,مقارنة الأحداث العالمية وعدد زورارها الموثقة بإدارات عالمية كإدارة اكسبو دبي بأي حدث محلي موثق محليا قابل للعبث عبط وهدر للمال العام,negative
7360,زاوية حركة سهم سوق دبي المالي طريقة اعلانية ذكية جدا للتسويق لسوق دبي المالي وتوقيت ممتاز فترة اكسبو تسويق سوق دبي سوق دبي المالي,negative
7361,كويتي وآخر مرة حضرت معرض أكسبو دبي المعرض ممتاز بتلك الأيام فما بالك ؟؟ بصراحة سبب عزوفي حضور المعرض بالثلاث عقود الماضية غلاء الأسعار بضاعة سكن,negative
7362,وزير الاعلام والشباب والوزراء الموقرين انتوا تعلمون بهذه الاغاني داخل اكسبو دبي تدرون شنو الاغنيه والكلمات ترضون بهذه الاعمال انتوا عندكم الوضع عادي ايمانوا ليش سويتي باشميل احنا كا شعب نرفض تماما المهزله الكويت,negative
7363,ليش اغلب التعليقات تنمر ؟؟ الريال رايه وعلى فكره وايد ناس ماعيبها اكسبو عادي ترا سب دبي يعني لازم تقمعون راي الشخص المخالف لرايكم,negative
7364,ربعنا اللي شافوا افتتاح اكسبو دبي عادي عندكم؟ شنو ينقصنا عشان نعيش الفرحة؟ الله يهنيهم حسبي الله تسبب بدمار هالديرة,negative
7365,تكلفةالجناح الاردني اكسبو دبي ممر ديكور عادي جدا شاشات عرض اقل عادية والنتيجة فضيحة ثقافية تاريخية ومسخرة وهبل تنظيمي مسبوق واحراج دولي بحضور صاحب الولاية العامة افتراضيا نسخة لرئيس كوريا الشمالية رضي الله عنه تعال خلصنا هالقرف كبير نسخةلابو بدر,negative
7366,حاطين شجرة اللبان تبع اكسبو دبي بيكون احلى شويه عادي ننتقد شوي,negative
7367,عادي جدا وطبيعي مشاريعهم الفعليه طبقوها معرض اكسبو دبي هز الخصر والرقص,negative
7368,مبنى السعودية اكسبو جا مثلا شي اثار العلا افضل بمليون مره غلطه كبيرة لاكن ياريت نتعلم اشوفه مبنى عادي جدا ومكلف الفاضي اكسبو دبي جدة الرياض,negative
7369,عادي يشوفوها لان احتفالات المازوت تشارك الراقصات والعاهرات امثالك اكسبو دبي الكثير امثالك,negative
7370,معلومات مغلوطة تاريخ الأردن اكسبو دبي أكد المدير التنفيذي للمؤسسة الأردنية لتطوير المشاريع الاقتصادية عبدالفتاح الكايد أنه إنهاء خدمات منظمين جناح الأردن معرض إكسبو دبي لتقيم معلوملت مغلوطة,negative
7371,معلومات مغلوطة تاريخ الاردن اكسبو دبي انهاء خدمات منظمين جناح الاردن معرض اكسبو دبي الحديث معلومات مغلوطة الاردن وتاريخه الأمر اثار جدلا واسعا استياء كبيرا الاردنين وصل حده عاصفة عبر مواقع التواصل الاجتماعي,negative
7372,المدير التنفيذي للمؤسسة الأردنية لتطوير المشاريع الاقتصادية عبد الفتاح الكايد ينهي عقد شركة خدمات الاستقبال الجناح الأردني معرض أكسبو دبي,negative
7373,اخلاء الزوار معرض اكسبو دبي وحالة خوف ورعب المرافق السياحية الامارات آمنة,negative
7374,يتم اخلاء المرافق الهامة اكسبو دبي الأمارات امنه,negative
7375,وحدات القوة الصاروخية وسلاح الجو المسير تمتلك المؤهلات لتنفيذ مناورات هجومية كاسحة للعمق الاماراتي وبمستوى يحقق تدمير كلي لمعرض اكسبو دبي,negative
7376,أكسبو إكسبو دبي وجهتك الإمارات مثلآ قطر الدوحة مصر شرم الشيخ منطقة أمنة الإمارات أصبحت أمنة هدف لصواريخ البالستية وسلاح الجو المسير ومهدده ساعة أنها دولة عدوانيه وتنشر ومستهدفه دبي الجحيم,negative
7377,كونسرت اكسبو دبي كله اوك التصوير سيء سيء لأبعد درجة جديا كله انا متنرفزة التصوير,negative
7378,تواجه العديد البلدان المنطقة العربية العديد الأزمات يشكل تغير المناخ تهديد كبير للسلام والأمن المنطقة ويمكن يزيد الصراع والنزوح مسيرة إكسبو دبي ستكون فرصة جيدة لتشجيع الناس العمل المناخي,negative
7379,دبي اكسبو غيره تجمع البلدان وطبعا اجراءات وتشديد بمجرد يكتشفو حاله بيقولو المواطن ملتزم وبيطلع الوزير كالعاده يبري ذمته,negative
7380,تعبب مب طبيعي احس بموت التعب اكسبو حر,negative
7381,اكسبو حر نار قلب مجروح,negative
7382,انا ماعرف ليش يايه اكسبو هالوقت الجمعه حر حر مب طبيعي,negative
7383,سيرو اكسبو الشتا ترا حر خنقه زحمه,negative
7384,اكسبو حر كتمه لاحد يجي,negative
7385,انزين حر مب شي تمديد إكسبو لرمضان,negative
7386,هيه بموت حر اكسبو وجه يبكي بصوت عال وجه يبكي بصوت عال وجه يبكي بصوت عال,negative
7387,ابوي يعرف فتح اكسبو وانا كارهته رحت مره وندمت حر وصداع وكل يقول يالله نروح اقعد اقوله,negative
7388,وايد ناس شافوني اكسبو شكلي انا آسفة شكلي والله حر وجه يبكي بصوت عال وجه يبكي بصوت عال وجه يبكي بصوت عال,negative
7389,كنت اكسبو وصراحة اخر مره اسير الصبح حر حر اوفر حر,negative
7390,لكل حر يمتلك قرار محترم مقاطعة اكسبو دبي مقاطعة اكسبو دبي اكسبو دبي,negative
7391,فينا بتصير زحمه وضع سويحان شرات الجناح الياباني إكسبو صعب الدخول ماشي حجوزات,negative
7392,مهرجان الرياض شغال والزحمه شي خيال وبدال الحفله حفلات باليوم والحضور بالآلاف أكسبو دبي يقولون الروح الروح والزحمه مالها والي زين باچر دخل وقلنا يله نبي نعيد أكيد اللجنه الصحيه بتقولنا كورونا ولازم نلغي الإحتفالات اممممممممممم وهم اممممممممممم,negative
7393,انتهى اجمل حفلات اكسبو رغم صعوبة سوء التنظيم الاجواء الختام شي رهيب باجر العرض العسكري الاكبر حصن الاتحاد جنوب اكسبو مواقف التنقل بيكون العرض يومين يبدا العصر,negative
7394,عكس اكسبو التنظيم صوب الكونسرت صوب,negative
7395,انك تعتبر مكان مرموق اكسبو للامانه التنظيم عندهم جدا جدا تعبان بغض النظر هالمخلوقات الغريبه,negative
7396,اكسبو فل مافي مكان تيو,negative
7397,زرت اكسبو واول مره المغرب انصدمت مافي مسيد مكان مخصص للصلاة,negative
7398,الإمارات آمنة إخلاء معرض إكسبو دويلة للامارات,negative
7399,يجب اخلاء اكسبو اعذر انذر عملية اعصار اليمن الرابعة,negative
7400,هام وكالة يونيوز نقلا شهود عيان أنباء سماع دوي انفجارات معرض اكسبو دبي الساعة ال إخلاء المبنى,negative
7401,اخبار انفجار معرض اكسبو زياره رئيس الكيان الاسرائيلي وهلع كبير ويتم اخلاء المعرض,negative
7402,الانفجارات سمعت داخل اكسبو دبي تمام الساعة الرابعة بتوقيت الامارات إخلاء المبنى الزوار,negative
7403,عاجل انفجارات معرض اكسبو نقلا شهود عيان الانفجارات سمعت داخل اكسبو دبي تمام الساعة الرابعة بتوقيت الامارات إخلاء المبنى الزوار انيس منصور,negative
7404,الانفجارات سمعت داخل اكسبو دبي تمام الساعة الرابعة بتوقيت الامارات إخلاء المبنى الزوار دبي,negative
7405,يعطون اجازة عشان نروح اكسبو دبي يعطون فلوس احسن لان مش معقولة كرواسون جبن داخل المعرض,negative
7406,سؤال الحين دبي عندهم اكسبو علشان الاكسبو ناجح لازم زوار كبير خصوصا التسويق شغالين اوكي شلون نروح دبي والتذكرة فلاي دبي ارخص شي شهر للشخص الغربب بنفس سعر تذكرة لندن دبي لندن الاماراتية,negative
7407,نبغا نروح نشوف إكسبو نشوف جناح سلطنة عمان المفترض خلص فحص يرخص عماني نبغا فرحة الأجازة النوفمبرية الغالية قلوبنا نستمتع غياب شهور نبغا نحس بطعم الاجازة الفنادق نار شرار السياحة الداخلية واجد مكلفة شي مشجع المجيد,negative
7408,يارب بكره نروح اكسبو والبيك مايكون زحمه ودي اجربه,negative
7409,الحين نقدر نروح اكسبو بنمرض,negative
7410,بتتعور زيادة نروح اكسبو ههه,negative
7411,ودنا نروح اكسبو زحمه,negative
7412,مخططين نروح اكسبو اسبوعين عشان نجرب الاكل الي يمدحونه اخر شي كلنا اسكريم سرد وغث جبودنا وطلعنا اكسبو لان زحمه ورحنا ناكل مكدونالز الشيشه,negative
7413,المهم اونه غصب نروح اكسبو عز الظهر ارحمونا واجلوه لين الشتاء والاخيس كله انهم بياخذون الاتندنس هناكوجه يبكي بصوت عال,negative
7414,المعرض الفعالية اللي القاهرة اقوى موجود اكسبو ونصرف ملاين وبس نيجي اكسبو نقول اللي تقوله مش مقبول التحضير والنتيجة التطوير افاد الاستاذ عبد الفتاح الاردن يستحق الافضل,negative
7415,بدا اكسبو الزحمة زايدة خايس مكان دبي,negative
7416,شحقى بتروحين اكسبو خايس نطري,negative
7417,الحين ادارة التنظيم يمديها تاخذ مساحه اكبر نص واجهة المطعم؟؟ يعني ترى الحفل يخص الجناح الكوري اكسبو دبي فكان يمديهم يلقون مكان اكبر واحسن كثر الاماكن الكويسه للحفلات دبي فلحد يتحجج الستيج مو خايس,negative
7418,اكسبو دبي الجائحة لكان معرضا كاسدا حركة حياة اكسبو محظوظ حل الجائحة الامارات واستقر دبي دار الحي,negative
7419,اكسبو معنا تخسر كلمات هزت عروشهم وأعلن إكسبو دبي تأجيل حفل مقرا بحجة ظروف طارئةوأصبحت الإمارات دويلة آمنه,negative
7420,قمة رباعية طبي للإعلان تأجيل الإحتفال معرض إكسبو دبي مسمى,negative
7421,الكويت نشطاء عرب يتفاعلون إعلان المهندسة الكويتية الغاء مشاركتها اكسبو دبي الإمارات آمنه,negative
7422,اعتقد الخبر حق قصف اكسبو دبي صحيح ينبأك سريع,negative
7423,والواسطة والمحسوبية كلام آخر حكومتنا الرشيدة اضن انتكاسة وضربة للحكومة إكسبو دبي والظهور المشرف وغير اللائق للأردن محفل دولي ضخم,negative
7424,مرحبا تعب يومي ابوظبي دبي لاستمتاع بالحدث الاهم يتكر عمر الانسان مرتين ضيعت جواز اكسبو لاسف ادارة الاكسبو تجده يوجد شخص يرجو يتواصل معي مذكور اسمي بالجواز الامر مهم بالنسبه كذكري اجلي انا أبنائي,negative
7425,تقرير حقوقي يتهم إدارة معرض دبي إكسبو بإساءة معاملة العمال وعمال يتحدثون أجور منخفضة وأماكن إقامة مزدحمة وغير صحية وظروف عمل صعبة فهل أخلفت دبي وعودها لعمال إكسبو للمزيد دبي إكسبو حقوق الإنسان حقوق العمال,negative
7426,ريم الهاشمي النهار العربي أصعب الفترات افتتاح إكسبو دبي صرنا جاهزين وجاء كوفيد ليغير شيء ويضعنا خيارات صعبة النهار العربي دبي,negative
7427,مين المسؤول التخبيص الي ورح المحاسبة اعتذار اكسبو دبي الأردن,negative
7428,إكسبو اكسبو للاسف اتمكن مشاهدة اكسبو دبي الزحمه المريعه وبعد السؤال اكتشفت الدخول مجاني بمناسبة الوطني كنت اعلم لأجلت الزياره لوقت اخر لأتمكن الاستمتاعقلب مجروح علما بأني حجزت ودفعت اون لاين معرفتي بذلك,negative
7429,الزحمة مرعبة إكسبو دبي,negative
7430,مابغي أطيح دبي لين يخلص اكسبو الزحمه مش طبيعيه,negative
7431,اعتقد دبي لازم تحدد مقيمي الجنسيات الزحمة صارت مو طبيعية زرت اكسبو رمضان وتمنيت اني مارحت كثر الزحمة والطوابير خصوصا مواطني جنوب آسيا,negative
7432,فرع البيك دبي اكسبو شاء الله الزحمه وين ماتروح,negative
7433,صارلي سنين ادخل امارة دبي احضر اكسبو لاني شخص احب الزحمة وهذي قناعتي وانته شخص موجود دبي وتشتغل كون انك تعيب اماره اخطاء الاشخاص فالتخطيط يجوز مثلك انته نعرفك طيب اسره ومع اتكلم شي طبي,negative
7434,صح كلامك اكسبو فاضي دبي مدينة اشباح الزحمة كلها الدوحة الناس الزحمة تنام شوارع الدوحة شاء الله راضي,negative
7435,الزحمة فظيعة خصوصا الويكند اخر مرة طلعت الويكند كثر الناس قمت اشوف خصوصا القرية اكسبو الحين معرض الكتاب الشارقة معرض دبي للتصميم بعده دخلنا شهر وفود سواح مكان امشي الاكسبو تلاقيت ناس العالم عمار دبي قلب,negative
7436,مختصر مفيد اكسبو دبي الأردن مش بخير,negative
7437,قاطع اكسبو دبي مش اشي كثير مهم تروح,negative
7438,ايوه انا مش فاهم برده دبي اكسبو دا عامل دوشة كتير ليه,negative
7439,مش مهم المهم رام الله طلعت اردنية اكسبو دبي الأردن مش بخير,negative
7440,قرايبنا الكركيه شو الوضع مالنا حلويات مصنعة الجميد طعمونا اكسبو دبي شو؟؟؟ الأردن مش بخير,negative
7441,حصل اكسبو دبي إنعكاس طبيعي لواقع الإدارة العامة الأردن مش بخير,negative
7442,صارلي بتابع تداعيات المقابله الإعلامية الجناح الاردني اكسبو دبي مش قادرة اسكت جماعة الإعلام مسؤول مش هيك انا إعلامية وبعرف اختار القصة وشخوصها وشو انشر انشر ارحمونا القصة مقصوده؛ الاردن بخير الخير,negative
7443,اكسبو دبي مش ارسلو شباب الجيش العربي يشرحو للزوار تاريخ الاردن بكل فخر بدل عجب الي فشلونا,negative
7444,سماع دوي انفجارات داخل معرض اكسبو دبي مش ناسين التحرير ولاد ال مقاطعه المنتجات الفرنسيه,negative
7445,تدمير تاريخ الاردني حضارته دقائق اكسبو دبي اكسبو دبي الأردن مش بخير,negative
7446,طق طبول المئوية والمئوية واخر مطلعين شباب مش عارفين تاريخها للموئية والمذيع افشل منهم كلهم مش يصح معلوماتهم فعلا اعلام مسخرة اكسبو دبي,negative
7447,تزوير مش ترويج إكسبو دبي الجناح الاردني مئات الإبداعات الشبابية موجودة ومهمشة حصلت جوائز عالمية حصر الأردن وتأريخه بفشك جريمة وطنية يومين شباب حصلوا جوائز عالمية لقوا تكريم مبادرة ربوتنا بالمطار قدموا إستقالاتكم,negative
7448,الاردن مش بخير كشف مصدر رؤيا المنظمين شباب أردنيون مقيمون دولة الإمارات العربية وأن حضورهم للمساعدة افتتاح الوطني الأردني فعاليات معرض إكسبو دبي السؤال الاهم مش المصدر يلي صرح شركة استقبال وعلاقات إنهاء عقدها,negative
7449,اكسبو دبي مش موسم الرياض واغاني هابطة وطريقة اهبط الهابطة شغل ملحجة,negative
7450,غلط وغلط كبير ومقصود تشويه صورة الاردن اكسبو دبي مش معقول,negative
7451,الأردن مش بخير يتم تمثيلنا لائق بمعرض ضخم بحجم دبي اكسبو والقصة مش عالفضيحة الأخيرة القصة المكان والتصميم وكل شيء صغيرة وكبيرة المستوى مش فالحين بشو بدنا نفلح؟,negative
7452,أغلب قابلت سكان دبي الإمارات يشعرون بشيء الحزن لقرب اكسبو دبي يقرب أشهر أحداث اكسبو المتواصلة جمعت المعرفة والترفيه اقترب موعد الختام أثق المحطة اكسبو أنجح تجربة تاريخ الحدث ورفعت سقف التوقعات للدورات القادمة,negative
7453,صحيفة إسبانية إكسبو دبي فشل بتقديم صورة الإمارات المزورة للعالم المصدرمجتهدنيوز,negative
7454,محاولة البعض التقليل شأن إكسبو دبي وسيلة تبرير فشل حكام الدول الأخرى بإعلاء شأن حكوماتها غرار الإمارات العربية المتحدة اكسبو دبي,negative
7455,فشل اكسبو نكبة دبي اقتصاديا كانو متوقعين زائر والمفجئة وصلو زائر ضربة قصمت ظهر البعير,negative
7456,تقرير يبرز فشل معرض إكسبو دبي تبيض انتهاكات الإمارات لحقوق الإنسان,negative
7457,نت إكسبو دبي فشل ذريع واستجداء مهين لرفع الزوار,negative
7458,السؤال الاهم لماذا يتم الاكتفاء فقط بانهاء عقد الشركة المتعاقد معها اكسبو دبي والتي تمثل الجناح الاردني لماذا يحاسب المسؤول تعاقد معهم وجلبهم ادبيا يجب تقديم استقالته لانه فشل ادارة الملف نعرف يدار اصلا الأردن مش بخير,negative
7459,جبريت الكويت ياصاحب السمو الأمير نواف الاحمد الصباح جناح الكويت إكسبو دبي فاشل يقدمنا اننا احدى الشعوب تاكل تعيش انتم تشوهون تاريخ ابائنا واجدادنا تاريخ يفوق ويتفوق تاريخ الدول المحيطه فشل فشل وتستر تستر الفساد والفادسين,negative
7460,النائب عطية الخصاونة فشل مشاركة الأردن اكسبو دبي اكسبودبي الجناحالاردني خليلعطية,negative
7461,للاسف معرض اكسبو دبي فشل مقارنه بالدورات السابقة,negative
7462,خبرتي مشاركاتي نسخ سابقة معرض اكسبو ومشاهدتي للتغطيات الاعلامية واهتمام الناس وكثافة الحضور استطيع القول اكسبو دبي فشل فشلا كبيرا وهذا تحليل واقعي وليس عاطفي الاهتمام بالحدث والتغطية الاعلام العالمي ونوعية التغطية تكاد تكون,negative
7463,وكالة الدولية تعويل دبي استضافة معرض إكسبو كلف مليارات تحول سراب فشل الحدث تحقيق العوائد المنتظرة إكسبو دبي الامارات,negative
7464,عاجل عطية ينبش جناح الأردن اكسبو دبي ويؤكد فشل ومهازل الوقائع الوقائع الاخبارية الاردن الوقائع,negative
7465,الفائدة إمتلاك المال تمتلك العقل تفريغ العمل وإجازات بالجملة وحشد إعلامي والنتيجة؟ فشل ذريع كشفته صحفية بقولها طابور الوقوف مطعم البيك أطول بمرات طابور إكسبو دبي الفشل حليف الإمارات يممت وجهها,negative
7466,ايش اخبار فشل اكسبو دبي جعلك صاروخ,negative
7467,الجناح الموريتانية إكسبو دبي يستحق التعليق فهو فشل فشل الادهى الأمر الفشل الأخير,negative
7468,يالشيخ الحقيقة وأتذكر تغريدة سابقة بهذا الشأن صدقت قلت العقول تصنع النجاح وليس المال وبالفعل معرض اكسبو دبي فشل وقبل يبدأ يشفع حفل الافتتاح التهريجي الباذخ والحفل الصاخب النحس والخيبة والفشل يلاحق مجرمي الإمارات,negative
7469,السبب تدهور اقتصاد دبي واكبر فشل اكسبو وكذلك رحيل هجرة الشركات للمملكة العربية السعودية,negative
7470,جناح الجزائر دبي إكسبو فلكلورا فرغ محتوى عدى الالبسة الشطيح الرديح دليل رداءة النظام فشل تصدير صورة أحسن للجزائر,negative
7471,امارات ليكس تكشف وثيقة سرية إكسبو دبي أكبر خسارة اقتصادية وتجارية للإمارات,negative
7472,وثيقة إكسبو دبي أكبر خسارة للإمارات,negative
